,Plaice,Sole,Cod,Whiting,Haddock
1957,0.086,0.099,,,
1958,0.101,0.117,,,
1959,0.116,0.112,,,
1960,0.12,0.146,,,
1961,0.12,0.162,,,
1962,0.131,0.151,,,
1963,0.149,0.2,,,
1964,0.154,0.104,,,
1965,0.14,0.117,,,
1966,0.151,0.14,,,
1967,0.153,0.195,,,
1968,0.14,0.27,,,
1969,0.151,0.27,,,
1970,0.193,0.22,,,
1971,0.177,0.27,,,
1972,0.192,0.25,,,0.8
1973,0.22,0.29,,,0.77
1974,0.24,0.28,,,0.79
1975,0.27,0.31,,,0.89
1976,0.22,0.28,,,0.88
1977,0.26,0.3,,,0.87
1978,0.25,0.31,,0.58,0.89
1979,0.34,0.32,,0.6,0.84
1980,0.29,0.28,,0.65,0.76
1981,0.29,0.26,,0.62,0.63
1982,0.32,0.32,,0.53,0.64
1983,0.31,0.36,0.91,0.61,0.73
1984,0.32,0.37,1.04,0.72,0.77
1985,0.31,0.35,1.04,0.65,0.82
1986,0.38,0.3,1.10,0.74,0.88
1987,0.41,0.22,1.02,0.76,0.93
1988,0.4,0.25,0.99,0.68,0.89
1989,0.35,0.24,1.06,0.63,0.89
1990,0.33,0.194,1.14,0.61,0.85
1991,0.36,0.22,1.11,0.48,0.96
1992,0.36,0.22,1.01,0.45,0.85
1993,0.33,0.27,0.99,0.52,0.92
1994,0.33,0.29,1.00,0.53,0.85
1995,0.34,0.32,1.09,0.47,0.7
1996,0.36,0.35,1.12,0.42,0.79
1997,0.41,0.28,1.06,0.37,0.7
1998,0.36,0.31,1.14,0.34,0.77
1999,0.33,0.29,1.23,0.38,0.89
2000,0.26,0.37,1.18,0.35,0.78
2001,0.35,0.35,1.03,0.25,0.55
2002,0.29,0.32,1.03,0.21,0.43
2003,0.27,0.31,0.97,0.22,0.29
2004,0.2,0.34,0.97,0.19,0.31
2005,0.186,0.41,0.89,0.177,0.38
2006,0.161,0.36,0.82,0.21,0.5
2007,0.128,0.31,0.77,0.191,0.48
2008,0.101,0.29,0.83,0.192,0.37
2009,0.091,0.33,0.80,0.196,0.32
2010,0.09,0.33,0.72,0.2,0.29
2011,0.093,0.31,0.64,0.185,0.28
2012,0.098,0.3,0.63,0.185,0.27
2013,0.092,0.27,0.59,0.189,0.28
2014,0.098,0.23,0.58,0.21,0.35
2015,0.104,0.23,0.57,0.25,0.42
2016,0.118,0.25,0.60,0.25,0.35
2017,0.111,0.21,0.69,0.22,0.31
2018,0.116,0.21,0.77,0.2,0.35
2019,0.096,0.174,0.69,0.197,0.32
2020,0.084,0.145,0.57,0.17,0.26
2021,0.071,0.119,0.46,0.134,0.174
2022,0.066,0.09,0.42,0.094,0.106
2023,0.054,0.079,0.44,0.083,0.084
